time,mx,my,mz
4.300022825E1,-2.568817139E1,-4.412384033E1,1.053009033E1
4.301020750E1,-2.553863525E1,-4.427337646E1,9.930419922E0
4.302018675E1,-2.553863525E1,-4.352416992E1,1.143035889E1
4.303056273E1,-2.478790283E1,-4.322357178E1,1.188049316E1
4.304017576E1,-2.553863525E1,-4.277343750E1,1.068115234E1
4.305012449E1,-2.628784180E1,-4.427337646E1,1.038055420E1
4.306010374E1,-2.433776855E1,-4.262390137E1,9.480285645E0
4.307008299E1,-2.658843994E1,-4.547424316E1,1.068115234E1
4.308009276E1,-2.613830566E1,-4.367370605E1,9.780883789E0
4.309010252E1,-2.523803711E1,-4.397430420E1,1.263122559E1
4.310011229E1,-2.553863525E1,-4.472351074E1,1.218109131E1
4.311012205E1,-2.658843994E1,-4.397430420E1,1.143035889E1
4.312013182E1,-2.628784180E1,-4.502410889E1,1.068115234E1
4.313014158E1,-2.553863525E1,-4.427337646E1,1.323089600E1
4.314012083E1,-2.688751221E1,-4.442443848E1,1.157989502E1
4.315013060E1,-2.688751221E1,-4.367370605E1,1.352996826E1
4.316014036E1,-2.523803711E1,-4.547424316E1,1.112976074E1
4.317015013E1,-2.643737793E1,-4.262390137E1,1.128082275E1
4.318012938E1,-2.658843994E1,-4.397430420E1,1.323089600E1
4.318983397E1,-2.778778076E1,-4.352416992E1,1.068115234E1
4.319981321E1,-2.688751221E1,-4.412384033E1,1.233062744E1
4.320979246E1,-2.703857422E1,-4.502410889E1,1.218109131E1
4.321977171E1,-2.598876953E1,-4.427337646E1,9.330749512E0
4.322975096E1,-2.538757324E1,-4.487457275E1,1.157989502E1
4.323976072E1,-2.478790283E1,-4.352416992E1,1.218109131E1
4.324973997E1,-2.568817139E1,-4.337463379E1,1.383056641E1
4.325981077E1,-2.688751221E1,-4.442443848E1,1.278076172E1
4.326966795E1,-2.568817139E1,-4.307403564E1,1.098022461E1
4.327964720E1,-2.658843994E1,-4.427337646E1,1.323089600E1
4.328962645E1,-2.553863525E1,-4.322357178E1,9.930419922E0
4.329960570E1,-2.658843994E1,-4.472351074E1,1.143035889E1
4.330955442E1,-2.568817139E1,-4.442443848E1,1.203002930E1
4.331956419E1,-2.718811035E1,-4.367370605E1,1.157989502E1
4.332954344E1,-2.568817139E1,-4.487457275E1,1.233062744E1
4.333955320E1,-2.508850098E1,-4.412384033E1,1.098022461E1
4.334956297E1,-2.658843994E1,-4.472351074E1,1.263122559E1
4.335957274E1,-2.523803711E1,-4.352416992E1,1.218109131E1
